"cv_0","pa","lon","lat","layer.1","layer.2","layer.3","layer.4","layer.5"
3,1,-40.615,-19.921,16.9074745912887,-9.09018274647328,6.98811252687775,15.229565124037,-2.78708549388619
4,1,-40.729,-20.016,16.3138222356618,-9.00036990006923,7.30010473536622,14.9168842628321,-2.72799536192581
4,1,-41.174,-20.303,15.2168344019175,-9.04268908972001,8.19379795010843,14.4035305679921,-2.57436944770807
4,1,-41.74,-20.493,12.9993429446397,-7.81259349903195,9.07630377347039,12.5715826365339,-2.01366886479941
2,1,-42.482,-20.701,14.4284547621031,-9.30989858545591,9.24521913761991,14.2060591933109,-2.49118231757918
5,1,-40.855,-17.082,18.5659938160311,-11.2970444786067,6.50616761651664,17.1312812363916,-3.33377976614139
3,1,-41.04,-18.73,18.2015268663994,-10.8050352851801,7.37461818279734,16.4350544287273,-2.88689815490418
5,1,-41.48,-18.879,18.5518807333613,-11.39774292724,7.67862851458913,16.8935821243751,-3.1121249277681
4,1,-42.526,-19.499,17.6097349695537,-11.1254601235587,8.34947359172225,16.2174253267572,-2.97626013414547
5,1,-42.916,-20.263,16.7526279518694,-11.1472983387267,8.28349581107965,15.9883011891873,-3.11901126555431
4,1,-43.02,-20.502,15.9746512912632,-10.4989720318332,8.41501397158702,15.278985853166,-2.96039805578582
5,1,-41.778,-17.614,17.1427821469444,-11.0860385312773,7.68555964392299,15.8189032559818,-2.83848896220366
5,1,-43.117,-19.847,16.0890820130462,-10.2552257276187,8.92571063031776,14.8625201081545,-2.66258498304972
1,1,-42.873,-20.778,15.856315308857,-10.1815920860558,8.52003424367892,15.1107983423946,-2.93310146094723
2,1,-41.201,-15.178,16.7779783734426,-10.8066702740532,6.2763325656168,14.4741731670522,-2.23780925062119
1,1,-43.548,-20.291,14.595187932786,-8.6660959175566,9.81153127224188,12.8024140293017,-1.77038410005079
1,1,-43.423,-19.406,15.9283129699727,-9.55947812387627,9.78832293025207,13.814660110745,-2.21638623045396
3,1,-41.352,-12.478,17.3695603392033,-10.3742580068706,6.32603415885293,15.8060072125678,-2.24167213974304
2,1,-48.548,-25.764,16.8044269726818,-6.51453076322889,8.4870759313901,16.2348597740451,-3.06653890503112
3,1,-47.896,-24.615,17.3471758264244,-8.71502664646074,8.079016955897,17.5547128629968,-3.5723383430497
3,1,-48.494,-25.275,17.5965209944353,-7.15405355484744,9.04223666927297,17.2200752473093,-3.37341557688968
1,1,-48.874,-25.51,14.2067009125019,-6.16458436926083,8.18958483344486,15.1095878354944,-3.20013092135688
3,1,-48.623,-25.936,17.2856607496584,-6.82672673814788,8.1769935590798,16.6112216217116,-3.17732509783825
4,1,-48.69,-26.01,17.0494761408381,-7.06904008311315,7.87712577811458,16.7007434123527,-3.32832268132512
2,1,-48.962,-26.28,16.5908085427344,-7.33471960472377,7.59655161798725,16.8439175030884,-3.59276390085182
5,1,-48.784,-26.641,16.495833714148,-7.36080310099499,7.52508307303855,16.8805518324766,-3.60251926565245
2,1,-48.87,-27.001,15.3625171620845,-7.03482917373801,7.49031607719397,16.788278237108,-3.90953371549276
5,1,-48.688,-27.45,15.2136392578227,-6.68280370275843,7.14278343830986,15.9808155896911,-3.56486939856863
2,1,-49.232,-28.619,14.9372377104069,-7.75493755760866,7.3413064292026,17.012955919829,-4.04419732078166
5,1,-49.499,-28.711,14.8344552044272,-7.87717695974108,7.0855150885036,17.153967388895,-4.16228364817711
3,1,-49.68,-28.8,14.233196041581,-7.00707371916722,7.05203963062709,16.4365642747929,-3.98732610972604
1,1,-49.726,-28.956,14.6967315367962,-7.29335279851663,6.54620455807984,16.7454559614198,-4.12008693622741
1,1,-49.86,-29.07,13.9819278318036,-5.84300430132314,6.44351895088244,15.7180798243604,-3.79862415398727
5,1,-49.857,-29.369,14.3451698978149,-5.74397241143915,5.46674402225506,15.4996171518291,-4.29492226334625
1,1,-44.781,-23.283,17.1010879502563,-7.67649014979766,9.27289935547445,16.3225298175991,-2.61629614610999
3,1,-47.921,-24.182,17.1128624512622,-8.56995975634277,8.47164292177803,17.2315267352892,-3.43336556669449
5,1,-48.616,-24.571,16.257362120614,-8.75286673107676,7.6535736988948,17.5123849237082,-3.94422739475627
4,1,-48.257,-25.22,17.7816213784615,-6.81413757526542,9.35756973180734,17.0763753349675,-3.24237700295222
1,1,-48.716,-25.603,15.9920806535908,-6.65159319300254,8.64471448677311,16.1692422768075,-3.46515875259389
1,1,-49.23,-26.37,15.1593770003968,-7.25106616154881,7.36334229027283,16.6147699839012,-3.82811351416443
4,1,-49.05,-26.73,15.6751215603158,-7.2030898929306,7.29045941758297,16.8604776184971,-3.89170318584903
4,1,-48.871,-26.82,15.5376640550645,-7.05566152506704,7.45631337279631,16.5511820936672,-3.69616711804347
4,1,-49.77,-26.91,14.3072725095092,-7.17831938278182,7.43389914181811,16.6785630113508,-4.10969990449391
2,1,-49.14,-27,14.502015089053,-6.49859154011008,7.44396934930153,16.0296934098661,-3.70945727039095
3,1,-48.78,-27.09,15.182071938865,-6.9148359320561,7.52052173868373,16.4109367694181,-3.70027277536667
4,1,-49.41,-27.09,15.0855383262977,-7.13587234194165,7.27176698036004,16.8702979352266,-4.07755906332845
1,1,-50.038,-27.092,13.6756156620958,-6.9314616232136,7.54719860310819,16.4803707046336,-4.16129198250838
2,1,-48.78,-27.18,15.583143174615,-7.0480950788569,7.28026498599106,16.6292881980253,-3.75361509645954
2,1,-49.77,-27.27,14.5115950345325,-7.19943738930758,7.35186334098382,16.7832641062284,-4.15126812637166
2,1,-49.05,-27.358,13.9217546512509,-6.0464220283874,7.45382298263018,15.3086408348296,-3.52002155214489
2,1,-48.78,-27.54,15.3697910268879,-6.76462656864202,6.95745268132648,15.8492685265746,-3.55420265208492
4,1,-48.87,-27.63,14.0305911825744,-6.00017673251258,7.40494516054058,15.0952772647113,-3.42766609780262
1,1,-48.693,-27.718,14.4175454100249,-6.06807087271038,7.05273101452346,15.0023076385387,-3.36610702321724
3,1,-48.78,-27.99,14.5119862945775,-6.18842763112025,6.87021409778877,15.1603196328298,-3.45328782415325
2,1,-48.96,-27.994,13.4300115532565,-5.53680511778381,7.28287562596096,14.5094052097678,-3.24248295934015
5,1,-48.959,-28.263,15.0672948917532,-6.79687977972258,6.49928495250723,16.1735542392945,-3.79268599544312
1,1,-49.232,-28.353,14.7980360830744,-7.59046898542962,7.56884632420108,16.8398096861895,-3.96249167966615
4,1,-49.497,-28.529,14.659551295566,-7.78118863947152,7.59444684010858,16.9944080473563,-4.0569771902441
2,1,-49.59,-28.62,13.699240019736,-6.55999549296686,7.38954567935566,15.8515810493755,-3.74265389707648
3,1,-49.86,-28.8,12.7910750467794,-5.14106044668364,7.1268598655798,14.732228516229,-3.44411516559224
5,1,-42.004,-21.978,16.8140510269928,-9.99961740180304,7.9766928929839,16.1061653764161,-3.1163896785559
5,1,-43.893,-22.001,15.5431703181857,-9.30655478901886,9.149981924371,14.5601376226065,-2.06159249337819
2,1,-42.531,-22.305,14.288180514094,-8.13259310409793,8.57510576294061,13.4800960811952,-2.25538765305795
5,1,-43.413,-22.551,17.12451706493,-8.44914301545575,8.62281009289644,15.9762544852269,-2.58586303453716
3,1,-43.301,-22.952,17.9764614542014,-8.86434833704257,6.06996848211806,16.9417554538506,-3.08364655716521
4,1,-46.479,-23.396,14.4380471541928,-8.07831014454579,8.1467769285602,13.9702343791257,-2.0748044257689
3,1,-46.768,-23.468,14.5619010181276,-8.18032497201274,8.09579773469358,14.1012927000943,-2.16063443173512
1,1,-46.729,-23.566,14.8271900693544,-7.95506461025874,7.96863930569624,14.2611667667078,-2.17154675320368
4,1,-45.753,-23.624,13.5148879703274,-5.46254679954187,9.28251239872205,13.162108607693,-1.9163942451018
5,1,-46.888,-23.641,14.4033570602392,-7.6043563826815,8.31723081111655,14.04285356718,-2.15997609278435
4,1,-46.625,-23.656,14.706965205376,-8.06907001228113,7.76267172812152,14.1676716713579,-2.15305819572765
1,1,-46.491,-23.767,14.8527918766506,-5.08580087024324,9.61829140986724,14.0061138859223,-1.93435077618911
2,1,-46.971,-23.772,14.166261025265,-6.58333358916465,8.75145619100592,13.7621129412717,-2.06053104264221
4,1,-48.683,-24.533,14.8989764781153,-8.18656462735356,7.65298004606727,16.7074859774177,-3.75424083214077
3,1,-49.14,-27.27,14.7615774178425,-6.64087073043101,7.39029821232601,16.2101203968478,-3.7872795300454
4,1,-49.41,-27.27,13.8273720134897,-6.38964489413732,7.44608226471153,15.7454501652545,-3.75479198309443
2,1,-49.41,-27.36,13.5862558876252,-6.24463551079136,7.47455594879821,15.5178554490058,-3.68961967515823
1,1,-49.05,-27.54,13.6112163848006,-5.82852769615018,7.45477085606647,14.9427404733043,-3.4030070316547
2,1,-49.23,-27.9,12.8118697448152,-5.37903491053258,7.44056383465453,14.4293463750472,-3.27100706966993
3,1,-48.87,-28.08,14.3807552507223,-6.306549851736,6.96187678914409,15.4298181404414,-3.56748809058645
1,1,-49.499,-28.26,14.2930502118891,-7.09449575009419,7.56771680568361,16.2937403031697,-3.85120946370517
3,1,-42.928,-22.044,15.9995003936591,-9.34869996389147,9.20158413992433,15.1341677080675,-2.5576117041812
1,1,-44.623,-22.428,13.95828620185,-8.1643326137342,10.3513237025587,13.6015798497942,-1.73727059112821
2,1,-43.158,-22.535,17.1757606619494,-8.67759139743996,8.04104020185164,16.1677193378291,-2.79009685978176
5,1,-45.358,-22.544,12.8673254965887,-7.10098600585233,10.8431124094939,12.4452978850434,-1.43030363419426
3,1,-45.322,-23.327,13.6512045809212,-7.54556383618654,9.09005088607398,13.4237470552485,-1.84530987777089
3,1,-46.611,-23.41,14.5364864553041,-8.06129002089321,8.17854922094435,13.9652841464888,-2.07437688488654
2,1,-43.885,-21.708,14.9959025355019,-8.65132644483265,9.29288779061977,13.5628127835357,-1.7519049446872
1,1,-42.569,-22.441,14.941569247691,-8.11144211808318,8.26786984290979,13.9161962202066,-2.2254782098027
5,1,-43.362,-22.124,16.4782642254844,-9.93307120079889,8.76518166004053,15.7699890835084,-2.73146062879528
5,1,-43.318,-21.748,16.2342834574256,-9.41137464371599,9.15492237663515,14.801455474426,-2.30112058170842
5,1,-44.59,-22.034,13.0640974298095,-7.82449637116095,10.6829470233712,12.5338179487934,-1.41423817568166
4,1,-44.772,-22.127,12.9095442810481,-7.72835280766551,10.9033506141098,12.4885158994097,-1.36929956461844
2,1,-50.606,-21.133,17.0904294081066,-10.8696961046092,8.46109039458135,17.1923146855836,-2.90097965366979
1,1,-51.826,-23.279,15.0517101476764,-8.57413548121469,7.93448643777508,16.1623375836556,-3.14019829742136
4,1,-53.368,-23.691,15.9830741977318,-8.82491621853661,7.84491995902091,18.1378941279513,-4.31374662911552
1,1,-47.11,-22.822,15.3479691989667,-9.35973752080573,8.54243686695417,15.1749059208623,-2.41272111235219
3,1,-46.704,-22.935,14.3788074918486,-8.42881005131264,8.63510586971637,14.1579292143612,-2.11436429452724
5,1,-51.254,-23.45,16.0686171321964,-8.7854434358003,8.15886431880023,16.7175154736441,-3.40277582365406
5,0,-38.25,-11.25,18.8913459011433,-10.5500316759087,4.7062818913702,16.8512519796762,-3.51077764635867
1,0,-43.4166666666667,-13.9166666666667,19.0926878486581,-13.0872267018684,6.70717655583456,16.6768302717974,-2.82123773195497
3,0,-41.9166666666667,-17.5833333333333,16.7222801812165,-10.9170975032947,7.81224499965817,15.3999252105748,-2.7129652717319
5,0,-54.9166666666667,-18.25,20.0794432070668,-11.8333461039364,8.12929457370236,17.8609269182576,-3.90267552489967
5,0,-43.4166666666667,-13.4166666666667,19.9759541749896,-13.3794902584041,7.04947293838843,16.8415416706895,-2.89986105739241
1,0,-42.75,-9.91666666666666,20.2873116640629,-14.1448929922525,6.37373747958795,17.9737942557602,-3.01740321490148
4,0,-46.9166666666667,-17.4166666666667,18.6273876675183,-10.9753688263665,8.26833045719109,16.6080023324643,-2.39321591182298
4,0,-47.4166666666667,-19.4166666666667,16.184212054161,-9.05891085754613,9.55311857359491,14.0307839738412,-1.1866212034678
5,0,-51.25,-24.4166666666667,14.5434056535967,-7.37091062929181,8.276606751735,16.5358767022255,-3.71460389612366
3,0,-44.9166666666667,-21.4166666666667,15.5550699567475,-9.59853995059431,9.79454273690003,14.371749102185,-2.11651346298112
1,0,-47.25,-16.5833333333333,17.0631047497617,-10.6040875784422,8.71388423831889,15.3073792862138,-2.11724459245937
3,0,-49.25,-17.4166666666667,18.7530101568199,-11.8508027563431,8.345747988213,16.3200798442039,-3.17701606439331
2,0,-49.0833333333333,-19.25,18.003713135358,-11.2634708023848,9.22170125331337,16.6127834786044,-2.36699154774044
1,0,-45.0833333333333,-18.75,17.8262750130888,-11.7867873490711,8.92577976047869,16.1154914630714,-2.62220115163216
2,0,-50.25,-27.75,11.926146361872,-5.95565296156215,7.19892958651887,14.8926789017568,-4.67391218715141
2,0,-51.75,-29.5833333333333,14.719623395388,-7.48716775463312,6.70095365580824,17.2055180447128,-4.48667294777303
1,0,-41.25,-10.25,16.7727678927042,-11.7348293476895,5.92473170720564,15.1596836862642,-1.93864526758814
1,0,-45.5833333333333,-17.9166666666667,17.6509766408155,-11.1055054628923,9.32154336450061,15.3622419993343,-2.15027126255923
5,0,-39.9166666666667,-9.91666666666666,17.7582819980209,-12.2397216304059,5.29849489060258,17.1343882326354,-2.89321683259276
1,0,-43.25,-10.5833333333333,19.3508101330569,-13.1063209675996,7.52192070426854,17.3740537978124,-1.97827354916313
2,0,-39.75,-10.0833333333333,17.894713986482,-11.8463765682299,5.1947849540647,17.1397186523259,-2.95120802018851
4,0,-45.9166666666667,-14.75,18.3200751591953,-11.4683440648636,8.27274154550974,15.129822879593,-2.6188072604168
2,0,-49.5833333333333,-28.4166666666667,11.9169963303196,-4.69901225817159,7.30453973675943,13.7835652425613,-3.1260093609178
5,0,-52.25,-23.9166666666667,16.0579715616324,-8.42264285615751,7.72965756743031,17.4637620909739,-3.7767273905291
3,0,-45.4166666666667,-21.75,15.4505049372787,-9.98665146441706,9.88691117099913,15.2190293923842,-2.45047656848047
2,0,-42.75,-12.75,18.4171828179038,-13.0197598781344,6.89968676960477,16.6233178479376,-2.98751444886616
2,0,-43.0833333333333,-16.4166666666667,16.2644930428831,-11.2584246746458,8.01193376718695,14.6248018926795,-2.30632508005463
1,0,-50.25,-16.0833333333333,20.5093935357904,-11.4752597038172,8.15512589698598,14.8070686586232,-3.6905569542696
2,0,-39.5833333333333,-11.25,18.1563729017941,-11.413398314147,4.80749870937342,17.3975085867048,-3.04823833566413
5,0,-52.4166666666667,-21.0833333333333,18.1807508787688,-10.727205415554,7.75843107932713,17.4590052384922,-2.9261306097561
3,0,-41.9166666666667,-10.5833333333333,19.3264767853248,-13.5622879818384,6.04948048778275,17.6090471007641,-2.73278338739247
5,0,-39.5833333333333,-15.5833333333333,19.1224350573172,-9.14127064091736,4.33280964799066,16.6463704808223,-2.96251383760757
3,0,-50.9166666666667,-20.75,17.1160946766471,-10.8620065188825,8.286782757013,17.2088488810674,-2.87907939386137
2,0,-53.4166666666667,-16.9166666666667,17.9892248711747,-11.0298520030877,9.51052105375565,15.7979929154327,-3.275159265007
5,0,-42.25,-8.58333333333333,20.404248249012,-14.2352903036918,6.67153025775659,18.2329783272912,-3.02566718590809
1,0,-52.75,-26.9166666666667,15.1886330628856,-5.93612145105068,8.28033783546793,17.7189414422131,-4.72927135170668
4,0,-48.4166666666667,-19.75,17.9719865491635,-10.8278661656907,9.30735389684788,16.3508385269698,-2.20795638078058
3,0,-44.25,-22.4166666666667,16.3389250931227,-9.94903626404125,9.13117820153531,15.8076586353532,-2.51567228060101
2,0,-46.5833333333333,-18.25,18.2479646730459,-10.4116550892454,8.88113582018682,14.7363597890972,-1.6165811442346
1,0,-41.25,-20.9166666666667,17.818624456949,-10.566208382281,6.95656080565328,16.6474246436201,-3.40771376470898
5,0,-57.75,-21.9166666666667,18.8025870394805,-10.7778478888128,7.34870256354396,19.7093889083053,-4.49294265130214
4,0,-56.5833333333333,-19.4166666666667,19.879333682402,-11.2384347183258,7.5671202797152,18.4882609385999,-3.11729711504851
2,0,-55.75,-21.25,18.1501888368041,-10.313921584129,7.73699834250923,18.0913433723546,-3.59295449216478
3,0,-42.25,-15.4166666666667,16.209677444127,-11.1290794060722,6.70044463270194,14.5008916114636,-2.17829654001027
5,0,-42.25,-14.75,17.1750946574114,-11.6038668124091,6.68238774317559,14.8976141024816,-2.20724805443419
5,0,-45.9166666666667,-10.4166666666667,18.5724448997593,-12.5087134246712,8.35797282982843,16.2487656226306,-3.1493772735359
5,0,-40.5833333333333,-13.9166666666667,18.2058532043071,-11.578464121323,4.58069498819566,15.6100022828393,-2.27702574188407
